Team,espnBPI,Year
Abilene Christian,143,2019
Arizona State,60,2019
Auburn,12,2019
Baylor,41,2019
Belmont,48,2019
Bradley,175,2019
Buffalo,23,2019
Cincinnati,29,2019
Colgate,136,2019
Duke,3,2019
Florida,31,2019
Florida State,16,2019
Georgia State,103,2019
Gonzaga,2,2019
Houston,14,2019
Iowa,37,2019
Iowa State,15,2019
Kansas,19,2019
Kansas State,25,2019
Kentucky,7,2019
Liberty,62,2019
Louisville,18,2019
LSU,24,2019
Marquette,27,2019
Maryland,28,2019
Michigan,6,2019
Michigan State,4,2019
Minnesota,55,2019
Mississippi,46,2019
Mississippi State,22,2019
Montana,120,2019
Murray State,49,2019
Nevada,20,2019
New Mexico State,58,2019
North Carolina,5,2019
Northeastern,93,2019
Northern Kentucky,80,2019
Ohio State,40,2019
Oklahoma,39,2019
Old Dominion,114,2019
Oregon,38,2019
Purdue,10,2019
Saint Louis,53,2019
Saint Mary's,70,2019
Seton Hall,98,2019
St. John's,34,2019
Syracuse,33,2019
Temple,72,2019
Tennessee,8,2019
Texas Tech,9,2019
UC Irvine,82,2019
UCF,42,2019
Utah State,44,2019
VCU,36,2019
Vermont,56,2019
Villanova,21,2019
Virginia,1,2019
Virginia Tech,11,2019
Washington,51,2019
Wisconsin,13,2019
Wofford,17,2019
Yale,76,2019
Abilene Christian,81,2021
Alabama,10,2021
Appalachian State,175,2021
Arkansas,14,2021
Baylor,2,2021
BYU,29,2021
Clemson,39,2021
Cleveland St,186,2021
Colgate,44,2021
Colorado,18,2021
Connecticut,15,2021
Creighton,13,2021
Drake,62,2021
Drexel,131,2021
Eastern Washington,103,2021
Florida,32,2021
Florida St,23,2021
Georgetown,65,2021
Georgia Tech,35,2021
Gonzaga,1,2021
Grand Canyon,74,2021
Hartford,174,2021
Houston,3,2021
Illinois,4,2021
Iona,138,2021
Iowa,5,2021
Kansas,19,2021
Liberty,72,2021
Loyola-Chicago,21,2021
LSU,24,2021
Maryland,43,2021
Michigan,6,2021
Michigan St,68,2021
Missouri,50,2021
Morehead St,154,2021
Mount St. Mary's,195,2021
NC Greensboro,89,2021
Norfolk St,208,2021
North Carolina,25,2021
North Texas,69,2021
Ohio,98,2021
Ohio St,9,2021
Oklahoma,31,2021
Oklahoma St,36,2021
Oral Roberts,156,2021
Oregon,34,2021
Oregon St,87,2021
Purdue,28,2021
Rutgers,46,2021
San Diego St,17,2021
St. Bonaventure,26,2021
Syracuse,33,2021
Tennessee,12,2021
Texas,22,2021
Texas Southern,203,2021
Texas Tech,8,2021
UC Santa Barbara,61,2021
UCLA,42,2021
USC,16,2021
Utah St,49,2021
VCU,57,2021
Villanova,7,2021
Virginia,11,2021
Virginia Tech,38,2021
West Virginia,27,2021
Wichita St,97,2021
Winthrop,86,2021
Wisconsin,20,2021
Akron,102,2022
Alabama,21,2022
Arizona,3,2022
Arkansas,20,2022
Auburn,12,2022
Baylor,6,2022
BoiseState,55,2022
Bryant,169,2022
Chattanooga,64,2022
Colgate,109,2022
ColoradoState,80,2022
Connecticut,18,2022
Creighton,68,2022
CSFullerton,175,2022
Davidson,50,2022
Delaware,149,2022
Duke,11,2022
GeorgiaState,136,2022
Gonzaga,1,2022
Houston,2,2022
Illinois,15,2022
Indiana,33,2022
Iowa,14,2022
IowaState,52,2022
JacksonvilleState,126,2022
Kansas,8,2022
Kentucky,4,2022
Longwood,130,2022
LoyolaChicago,25,2022
LSU,16,2022
Marquette,54,2022
Memphis,24,2022
Miami,58,2022
Michigan,27,2022
MichiganState,32,2022
MontanaState,162,2022
MurrayState,30,2022
NewMexicoState,116,2022
NorfolkState,135,2022
NorthCarolina,26,2022
NotreDame,51,2022
OhioState,23,2022
Providence,42,2022
Purdue,10,2022
Richmond,73,2022
Rutgers,74,2022
SaintMarys,22,2022
SaintPeters,113,2022
SanDiegoState,29,2022
SanFrancisco,31,2022
SetonHall,36,2022
SouthDakotaState,60,2022
TCU,44,2022
Tennessee,5,2022
Texas,17,2022
TexasA&MCC,238,2022
TexasSouthern,174,2022
TexasTech,13,2022
UAB,47,2022
UCLA,9,2022
USC,40,2022
Vermont,38,2022
Villanova,7,2022
VirginiaTech,19,2022
Wisconsin,28,2022
WrightState,161,2022
Wyoming,103,2022
Yale,152,2022
Alabama,2,2023
Texas A&M CC,210,2023
Maryland,20,2023
West Virginia,23,2023
San Diego State,24,2023
Charleston,63,2023
Virginia,22,2023
Furman,92,2023
Creighton,11,2023
NC State,45,2023
Baylor,12,2023
UCSB,123,2023
Missouri,61,2023
Utah State,42,2023
Arizona,9,2023
Princeton,110,2023
Purdue,7,2023
Texas Southern,292,2023
Memphis,29,2023
Florida Atlantic,34,2023
Duke,16,2023
Oral Roberts,83,2023
Tennessee,3,2023
Louisiana,99,2023
Kentucky,15,2023
Providence,40,2023
Kansas State,31,2023
Montana State,109,2023
Michigan State,37,2023
USC,54,2023
Marquette,13,2023
Vermont,97,2023
Houston,1,2023
Northern Kentucky,146,2023
Iowa,32,2023
Auburn,27,2023
Miami,36,2023
Drake,55,2023
Indiana,17,2023
Kent State,73,2023
Iowa State,25,2023
Mississippi State,44,2023
Pittsburgh,66,2023
Xavier,21,2023
Kennesaw State,134,2023
Texas A&M,19,2023
Penn State,46,2023
Texas,5,2023
Colgate,98,2023
Kansas,10,2023
Howard,224,2023
Arkansas,14,2023
Illinois,30,2023
Saint Mary's,18,2023
VCU,56,2023
UConn,6,2023
Iona,51,2023
TCU,28,2023
Arizona State,72,2023
Nevada,71,2023
Gonzaga,8,2023
Grand Canyon,94,2023
Northwestern,41,2023
Boise State,47,2023
UCLA,4,2023
NC Asheville,136,2023
Connecticut,2,2024
Stetson,177,2024
Florida Atlantic,35,2024
Northwestern,39,2024
San Diego St.,34,2024
UAB,116,2024
Auburn,4,2024
Yale,66,2024
BYU,17,2024
Duquesne,89,2024
Illinois,12,2024
Morehead State,102,2024
Washington State,42,2024
Drake,52,2024
Iowa State,6,2024
South Dakota State,152,2024
Houston,1,2024
Longwood,140,2024
Nebraska,37,2024
Texas A&M,36,2024
Wisconsin,19,2024
James Madison,45,2024
