Team,Index
ACU,1
Abilene Chr,1
Abilene Christian,1
AF,2
Air Force,2
AKR,3
Akron,3
ALA,4
Alabama,4
AAMU,5
Alabama A&M,5
Alabama A&M,5
Alabama A&M,5
ALST,6
Alabama St.,6
Alabama State,6
Albany,7
SUNY Albany,7
UALB,7
ALCN,8
Alcorn St.,8
Alcorn State,8
AMER,9
American,9
American Univ,9
APP,10
Appalachian St.,10
Appalachian State,10
ARIZ,11
Arizona,11
ASU,12
Arizona St,12
Arizona St.,12
Arizona State,12
ARK,13
Arkansas,13
Ark Pine Bluff,14
Ark Pine Bluff,14
Arkansas Pine Bluff,14
UAPB,14
ARST,15
Arkansas St.,15
Arkansas State,15
ARMY,16
Army,16
AUB,17
Auburn,17
APSU,18
Austin Peay,18
BYU,19
Brigham Young,19
BALL,20
Ball St.,20
Ball St.,20
Ball St.,20
Ball State,20
BAY,21
Baylor,21
BELL,22
Bellarmine,22
BEL,23
Belmont,23
BCU,24
Bethune Cookman,24
Bethune-Cookman,24
BING,25
Binghamton,25
BOIS,26
Boise St.,26
Boise State,26
BoiseState,26
BC,27
Boston College,27
BU,28
Boston Univ,28
Boston Univ,28
Boston University,28
BGSU,29
Bowling Green,29
BRAD,30
Bradley,30
BRWN,31
Brown,31
BRY,32
Bryant,32
BUCK,33
Bucknell,33
BUF,34
Buffalo,34
BUT,35
Butler,35
CBU,36
Cal Baptist,36
California Baptist,36
CP,37
Cal Poly,37
CS Bakersfield,38
CS Bakersfield,38
CSU Bakersfield,38
CSUB,38
Cal St. Bakersfield,38
CS Fullerton,39
CSFullerton,39
CSU Fullerton,39
CSUF,39
Cal St Fullerton,39
Cal St. Fullerton,39
Cal State Fullerton,39
CS Northridge,40
CS Northridge,40
CS Northridge,40
CSUN,40
Cal St. Northridge,40
Cal State Northridge,40
CAL,41
California,41
CAM,42
Campbell,42
CAN,43
Canisius,43
Centenary,44
CARK,45
Cent Arkansas,45
Cent Arkansas,45
Central Arkansas,45
CCSU,46
Central Conn,46
Central Conn,46
Central Conn,46
Central Connecticut,46
Central Connecticut,46
Central Connecticut,46
Central Connecticut,46
C Michigan,47
C Michigan,47
CMU,47
Central Michigan,47
COFC,48
Charleston,48
Col Charleston,48
Col Charleston,48
College of Charleston,48
CHSO,49
Charleston So,49
Charleston So,49
Charleston Southern,49
Birmingham So,49
Birmingham Southern,49
CLT,50
Charlotte,50
Chattanooga,51
UTC,51
CHST,52
Chicago St.,52
Chicago State,52
Chicago St.(A) 284 Mercyhurst,53
CIN,54
Cincinnati,54
CLEM,55
Clemson,55
CLE,56
Cleveland St,56
Cleveland St.,56
Cleveland State,56
CCU,57
Coastal Car,57
Coastal Car,57
Coastal Carolina,57
COLG,58
Colgate,58
COLO,59
Colorado,59
CSU,60
Colorado St.,60
Colorado State,60
ColoradoState,60
COLU,61
Columbia,61
CONN,62
Connecticut,62
UConn,62
COPP,63
Coppin St.,63
Coppin State,63
COR,64
Cornell,64
CREI,65
Creighton,65
DART,66
Dartmouth,66
DAV,67
Davidson,67
DAY,68
Dayton,68
DEP,69
DePaul,69
DEL,70
Delaware,70
DSU,71
Delaware St.,71
Delaware St.,71
Delaware St.,71
Delaware State,71
DEN,72
Denver,72
DETM,73
Detroit,73
Detroit Mercy,73
DRKE,74
Drake,74
DREX,75
Drexel,75
DUKE,76
Duke,76
DUQ,77
Duquesne,77
ECU,78
East Carolina,78
ETAM,79
ETSU,79
ETSU,79
ETSU,79
East Tennessee St.,79
East Tennessee St.,79
East Tennessee St.,79
East Tennessee St.,79
East Tennessee State,79
Eastern Tennessee,79
East Texas A&M,80
Texas A&M Commerce,80
E Illinois,81
E Illinois,81
EIU,81
Eastern Illinois,81
E Kentucky,82
E Kentucky,82
EKU,82
Eastern Kentucky,82
E Michigan,83
E Michigan,83
EMU,83
Eastern Michigan,83
E Washington,84
E Washington,84
EWU,84
Eastern Washington,84
ELON,85
Elon,85
EVAN,86
Evansville,86
Evansville(H) 158 Southern Illinois,87
FIU,88
Florida International,88
Florida Intl,88
Florida Intl,88
FAIR,89
Fairfield,89
F Dickinson,90
F Dickinson,90
FDU,90
Fairleigh Dickinson,90
Farleigh Dickinson,90
FLA,91
Florida,91
FAMU,92
Florida A&M,92
FAU,93
FL Atlantic,93
FL Atlantic,93
FL Atlantic,93
Florida Atlantic,93
Florida Atlantic,93
Florida Atlantic,93
Florida Atlantic,93
Florida Atlantic(A) 69 South Florida,94
FGCU,95
FGCU,95
Florida Gulf Coast,95
FSU,96
Florida St,96
Florida St.,96
Florida State,96
FOR,97
Fordham,97
FRES,98
Fresno St,98
Fresno St.,98
Fresno State,98
FUR,99
Furman,99
GWEB,100
Gardner Webb,100
Gardner Webb,100
Gardner Webb,100
Gardner-Webb,100
GMU,101
George Mason,101
G Washington,102
G Washington,102
G Washington,102
GW,102
George Washington,102
George Washington,102
George Washington,102
George Washington,102
GTWN,103
Georgetown,103
Georgia,104
UGA,104
GASO,105
Ga Southern,105
Ga Southern,105
Georgia Southern,105
GAST,106
Georgia St,106
Georgia St.,106
Georgia St.,106
Georgia St.,106
Georgia State,106
GeorgiaState,106
GT,107
Georgia Tech,107
GONZ,108
Gonzaga,108
GRAM,109
Grambling,109
Grambling St.,109
Grambling State,109
GCU,110
Grand Canyon,110
GB,111
Green Bay,111
WI Green Bay,111
WI Green Bay,111
HAMP,112
Hampton,112
Hartford,113
HARV,114
Harvard,114
HAW,115
Hawaii,115
HPU,116
High Point,116
HOF,117
Hofstra,117
HC,118
Holy Cross,118
HOU,119
Houston,119
HCU,120
Houston Baptist,120
Houston Chr,120
Houston Chr,120
Houston Christian,120
HOW,121
Howard,121
IU Indy,122
IUIN,122
IUPUI,122
IDHO,123
Idaho,123
IDST,124
Idaho St.,124
Idaho State,124
ILL,125
Illinois,125
IL Chicago,126
IL Chicago,126
Illinois Chicago,126
UIC,126
ILST,127
Illinois St.,127
Illinois State,127
Incarnate Word,128
UIW,128
IU,129
